tarih,gunluk_test,gunluk_vaka,gunluk_olum,gunluk_iyilesen,toplam_test,toplam_vaka,toplam_olum,toplam_iyilesen,agir_hasta
09/11,145411,2576,85,2047,15273222,396831,10972,340286,2867
10/11,146198,2529,87,2215,15419420,399360,11059,342501,3001
11/11,145989,2693,86,2112,15565409,402053,11145,344613,3095
12/11,148482,2841,88,2181,15713891,404894,11233,346794,3230
13/11,149942,3045,93,2010,15863833,407939,11326,348804,3356
14/11,150141,3116,92,2298,16013974,411055,11418,351102,3423
15/11,142496,3223,89,2561,16156470,414278,11507,353663,3439
16/11,151516,3316,94,2712,16307986,417594,11601,356375,3610
17/11,156692,3819,103,2688,16464678,421413,11704,359063,3657
18/11,158811,4215,116,2592,16623489,425628,11820,361655,3742
19/11,157756,4542,123,2918,16781245,430170,11943,364573,3850
20/11,156642,5103,141,3019,16937887,435273,12084,367592,3990
21/11,152214,5532,135,3233,17090101,440805,12219,370825,4121
